Category,Route,Component,Role,Description,Status,Notes
Public Routes,/,HomePage,All,Trang chủ,Active,
Public Routes,/login,Login,All,Trang đăng nhập,Active,
Public Routes,/blog,Blog,All,Trang blog,Active,
Public Routes,/blog/:id,BlogDetail,All,Chi tiết bài blog,Missing,Route được link trong Blog component nhưng chưa có trong App.jsx
Public Routes,/about,About,All,Trang giới thiệu,Missing,Route được link trong HomePage nhưng chưa có trong App.jsx
Protected Routes - Overview,/thongke,DashboardPage,All,Bảng điều khiển,Active,
Protected Routes - Overview,/thongbaotiemchung,VaccinationNotifications,All,Thông báo tiêm chủng,Active,
Protected Routes - Overview,/admin,Admin,ROLE_ADMIN,Trang quản trị,Active,
Protected Routes - Overview,/nurse,NursePages,ROLE_NURSE,Trang y tá,Active,
Protected Routes - User Management,/capnhatthongtin,UpdateUser,All,Cập nhật thông tin cá nhân,Active,
Protected Routes - User Management,/doimatkhau,UpdatePassword,All,Đổi mật khẩu,Active,
Protected Routes - User Management,/taomoinguoidung,CreateUser,ROLE_ADMIN,Tạo người dùng mới,Active,
Protected Routes - User Management,/capnhatnguoidung/:userId,UpdateUserByAdmin,ROLE_ADMIN,Cập nhật người dùng (Admin),Active,
Protected Routes - User Management,/danhsachnguoidung,UserList,ROLE_ADMIN,Danh sách người dùng,Active,
Protected Routes - User Management,/khoanguoidung/:userId,BlockUser,ROLE_ADMIN,Khóa người dùng,Active,
Protected Routes - User Management,/admin/taomoinguoidung,CreateUser,ROLE_ADMIN,Tạo người dùng (alias),Navigation Only,Được sử dụng trong navigation nhưng route thực tế là /taomoinguoidung
Protected Routes - User Management,/admin/danhsachnguoidung,UserList,ROLE_ADMIN,Danh sách người dùng (alias),Navigation Only,Được sử dụng trong navigation nhưng route thực tế là /danhsachnguoidung
Protected Routes - User Management,/admin/capnhatnguoidung/:userId,UpdateUserByAdmin,ROLE_ADMIN,Cập nhật người dùng (alias),Navigation Only,Được sử dụng trong navigation nhưng route thực tế là /capnhatnguoidung/:userId
Protected Routes - User Management,/admin/khoanguoidung/:userId,BlockUser,ROLE_ADMIN,Khóa người dùng (alias),Navigation Only,Được sử dụng trong navigation nhưng route thực tế là /khoanguoidung/:userId
Protected Routes - Student Management,/taomoihocsinh,CreateStudent,ROLE_ADMIN,Tạo học sinh mới,Active,
Protected Routes - Student Management,/danhsachhocsinh,StudentList,ROLE_ADMIN,Danh sách học sinh,Active,
Protected Routes - Student Management,/capnhathocsinh/:studentId,UpdateStudent,ROLE_ADMIN,Cập nhật thông tin học sinh,Active,
Protected Routes - Vaccination,/taosukientiemchung,CreateVaccinationCampaign,ROLE_ADMIN,Tạo chiến dịch tiêm chủng,Active,
Protected Routes - Vaccination,/quanlytiemchung,VaccinationManagement,ROLE_ADMIN,Quản lý tiêm chủng,Active,
Protected Routes - Vaccination,/capnhatthongtintiemchung,UpdateVaccination,ROLE_ADMIN,Cập nhật thông tin tiêm chủng,Active,
Protected Routes - Vaccination,/capnhattiemchung,UpdateVaccination,ROLE_ADMIN,Cập nhật tiêm chủng (alias),Duplicate,Route trùng lặp với /capnhatthongtintiemchung
Protected Routes - Vaccination,/ketquatiemchung,VaccinationResult,ROLE_ADMIN;ROLE_NURSE,Kết quả tiêm chủng,Active,
Protected Routes - Vaccination,/ketquatiemchunghocsinh,VaccinationStudentResult,All,Kết quả tiêm chủng học sinh,Active,
Protected Routes - Health Check,/kiemtradinhky,CreateHealthCheck,ROLE_NURSE,Tạo lịch kiểm tra định kỳ,Active,
Protected Routes - Health Check,/danhsachkiemtradinhky,HealthCheckList,ROLE_NURSE,Danh sách kiểm tra định kỳ,Active,
Protected Routes - Health Check,/capnhatkiemtradinhky,UpdateHealthCheck,ROLE_NURSE,Cập nhật kiểm tra định kỳ,Active,
Protected Routes - Health Check,/kiemtradinhkyhocsinh,HealthCheck,ROLE_NURSE,Thực hiện khám sức khỏe,Active,
Protected Routes - Health Check,/ketquakiemtradinhky,HealthCheckResult,ROLE_NURSE,Kết quả kiểm tra định kỳ,Active,
Protected Routes - Health Check,/ketquakiemtradinhkyhocsinh,HealthCheckResultStudent,ROLE_NURSE;ROLE_PARENT,Kết quả kiểm tra học sinh,Active,
Protected Routes - Health Check,/capnhatketquakiemtra,UpdateHealthCheckResult,ROLE_NURSE,Cập nhật kết quả kiểm tra,Active,
Protected Routes - Medicine,/donthuoc,NursePrescription,ROLE_NURSE,Đơn thuốc,Active,
Protected Routes - Medicine,/chouongthuoc,MedicineLog,ROLE_NURSE,Chờ uống thuốc,Active,
Protected Routes - Medicine,/quanlythuoc,Pharmaceutical,ROLE_NURSE,Quản lý thuốc,Active,
Protected Routes - Records,/hososuckhoe,HealthRecord,ROLE_PARENT,Hồ sơ sức khỏe,Active,
Protected Routes - Records,/khaibaothuoc,MedicineDeclarations,ROLE_PARENT,Khai báo thuốc,Active,
Protected Routes - Records,/donthuocdagui,MedicineList,ROLE_PARENT,Đơn thuốc đã gửi,Active,
Protected Routes - Medical Events,/sukienyte,MedicalEvents,ROLE_NURSE,Sự cố y tế,Active, 
